date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:31:12	112/112	---M-Z	200	added ('OK')	text/plain	date:Mon,%2021%20Dec%202020%2003:01:12%20GMT	https://shopbilling.in/robots.txt		(from )
08:31:18	87980/87980	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Dec%202020%2003:01:18%20GMT	https://shopbilling.in/	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/index.html	(from )
08:31:19	7804/7804	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fda1da4-1e7c%22	https://client.crisp.chat/l.js	C:/My%20Web%20Sites/Shopbilling.in/client.crisp.chat/l.js	(from https://shopbilling.in/)
08:31:19	87561/87561	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:29:03%20GMT	https://shopbilling.in/wp-content/themes/astra/assets/css/minified/style.min.css?ver=2.5.5	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/themes/astra/assets/css/minified/style.min4468.css	(from https://shopbilling.in/)
08:31:19	3304/3304	---M--	200	added ('OK')	font/woff	date:Mon,%2028%20Sep%202020%2006:29:03%20GMT	https://shopbilling.in/wp-content/themes/astra/assets/fonts/astra.woff	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/themes/astra/assets/fonts/astra.woff	(from https://shopbilling.in/)
08:31:19	51433/51433	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Dec%202020%2012:21:40%20GMT	https://shopbilling.in/wp-includes/css/dist/block-library/style.min.css?ver=5.6	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-includes/css/dist/block-library/style.min40df.css	(from https://shopbilling.in/)
08:31:20	98/98	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Dec%202020%2002:51:50%20GMT	https://shopbilling.in/wp-content/plugins/export-wp-page-to-static-html/public/css/export-wp-page-to-static-html-public.css?ver=1.0.0	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/export-wp-page-to-static-html/public/css/export-wp-page-to-static-html-public8a54.css	(from https://shopbilling.in/)
08:31:20	776/776	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:38%20GMT	https://shopbilling.in/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.3	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementore225.css	(from https://shopbilling.in/)
08:31:20	16636/16636	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:15%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.9.1	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min74e5.css	(from https://shopbilling.in/)
08:31:20	18468/18468	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:15%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.0.10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/lib/animations/animations.min521d.css	(from https://shopbilling.in/)
08:31:21	3855/3855	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:14%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.0.10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/css/frontend-legacy.min521d.css	(from https://shopbilling.in/)
08:31:21	112569/112569	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:14%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.0.10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/css/frontend.min521d.css	(from https://shopbilling.in/)
08:31:21	1023/1023	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:24:21%20GMT	https://shopbilling.in/wp-content/uploads/elementor/css/post-523.css?ver=1601274261	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/uploads/elementor/css/post-523b264.css	(from https://shopbilling.in/)
08:31:21	205057/205057	---M-Z	200	added ('OK')	text/css	date:Sun,%2023%20Aug%202020%2017:10:44%20GMT	https://shopbilling.in/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=2.9.1	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor-pro/assets/css/frontend.minbf47.css	(from https://shopbilling.in/)
08:31:22	57180/57180	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:15%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.0.10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min521d.css	(from https://shopbilling.in/)
08:31:22	26702/26702	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2006:23:15%20GMT	https://shopbilling.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.0.10	C:/My%20Web%20Sites/Shopbilling.in/shopbilling.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min521d.css	(from https://shopbilling.in/)
